Sentence,Pair,Accent,SentenceRating,MatchingRating,Difficulty
33AE4,33,Foreign,-34.328,-34.946,Easy
33BE6,33,Native,-35.564,-34.946,Easy
33AE5,33,Foreign,-32.891,-32.8275,Easy
33BE2,33,Native,-32.764,-32.8275,Easy
33AE3,33,Foreign,-22.687,-23.683,Easy
33BE3,33,Native,-24.679000000000002,-23.683,Easy
33AE6,33,Foreign,-19.055,-20.118000000000002,Easy
33BD12,33,Native,-21.181,-20.118000000000002,Easy
33AD10,33,Foreign,-17.845,-18.1055,Difficult
33BD11,33,Native,-18.366,-18.1055,Difficult
33AD8,33,Foreign,-15.702000000000002,-14.276000000000002,Difficult
33BE1,33,Native,-12.850000000000001,-14.276000000000002,Difficult
33AE2,33,Foreign,-8.306,-8.181000000000001,Difficult
33BD10,33,Native,-8.056000000000001,-8.181000000000001,Difficult
33AD7,33,Foreign,-2.1379999999999995,-2.611999999999999,Difficult
33BD7,33,Native,-3.0859999999999994,-2.611999999999999,Difficult
